"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land"
"Regio's";"Perioden";"aantal";"aantal inwoners per km²";"km²"
"Aa en Hunze";"2021";"25399";"92";"276,09"
"Aalburg";"2021";"";"";""
"Aalsmeer";"2021";"31991";"1590";"20,12"
"Aalten";"2021";"27120";"281";"96,54"
"Ter Aar";"2021";"";"";""
"Aarle-Rixtel";"2021";"";"";""
"Abcoude";"2021";"";"";""
"Achtkarspelen";"2021";"27900";"273";"102,23"
"Akersloot";"2021";"";"";""
"Alblasserdam";"2021";"20136";"2294";"8,78"
"Albrandswaard";"2021";"25814";"1190";"21,69"
"Alkemade";"2021";"";"";""
"Alkmaar";"2021";"109896";"995";"110,46"
"Almelo";"2021";"73132";"1087";"67,27"
"Almere";"2021";"214715";"1662";"129,19"
"Alphen aan den Rijn";"2021";"112587";"892";"126,23"
"Alphen en Riel";"2021";"";"";""
"Alphen-Chaam";"2021";"10373";"111";"93,04"
"Altena";"2021";"56352";"281";"200,63"
"Ambt Delden";"2021";"";"";""
"Ambt Montfort";"2021";"";"";""
"Ameland";"2021";"3746";"63";"59,11"
"Amerongen";"2021";"";"";""
"Amersfoort";"2021";"157462";"2514";"62,62"
"Ammerzoden";"2021";"";"";""
"Amstelveen";"2021";"90829";"2208";"41,13"
"Amsterdam";"2021";"873338";"5277";"165,50"
"Andijk";"2021";"";"";""
"Angerlo";"2021";"";"";""
"Anloo";"2021";"";"";""
"Anna Paulowna";"2021";"";"";""
"Apeldoorn";"2021";"164781";"485";"339,89"
"Appingedam";"2021";"";"";""
"Arcen en Velden";"2021";"";"";""
"Arnemuiden";"2021";"";"";""
"Arnhem";"2021";"162424";"1660";"97,82"
"Assen";"2021";"68836";"841";"81,89"
"Asten";"2021";"16817";"240";"70,17"
"Avereest";"2021";"";"";""
"Axel";"2021";"";"";""
"Baarle-Nassau";"2021";"6899";"91";"76,14"
"Baarn";"2021";"24792";"762";"32,54"
"Bakel en Milheeze";"2021";"";"";""
"Barendrecht";"2021";"48643";"2463";"19,75"
"Barneveld";"2021";"59992";"341";"175,90"
"Bathmen";"2021";"";"";""
"Bedum";"2021";"";"";""
"Beek (L.)";"2021";"15875";"755";"21,03"
"Beek en Donk";"2021";"";"";""
"Beekdaelen";"2021";"36065";"461";"78,30"
"Beemster";"2021";"10110";"143";"70,58"
"Beesel";"2021";"13450";"481";"27,99"
"Beilen";"2021";"";"";""
"Belfeld";"2021";"";"";""
"Bellingwedde";"2021";"";"";""
"Bemmel";"2021";"";"";""
"Bennebroek";"2021";"";"";""
"Berg en Dal";"2021";"35010";"406";"86,31"
"Bergambacht";"2021";"";"";""
"Bergeijk";"2021";"18754";"186";"101,00"
"Bergen (L.)";"2021";"13108";"127";"103,24"
"Bergen (NH.)";"2021";"29715";"300";"98,96"
"Bergen op Zoom";"2021";"67514";"844";"79,96"
"Bergeyk";"2021";"";"";""
"Bergh";"2021";"";"";""
"Bergschenhoek";"2021";"";"";""
"Berkel en Rodenrijs";"2021";"";"";""
"Berkel-Enschot";"2021";"";"";""
"Berkelland";"2021";"43846";"170";"258,06"
"Berlicum";"2021";"";"";""
"Bernheze";"2021";"31455";"351";"89,73"
"Bernisse";"2021";"";"";""
"Best";"2021";"30216";"881";"34,30"
"Beuningen";"2021";"26157";"599";"43,65"
"Beverwijk";"2021";"41863";"2275";"18,40"
"het Bildt";"2021";"";"";""
"De Bilt";"2021";"43384";"656";"66,12"
"Binnenmaas";"2021";"";"";""
"Bladel";"2021";"20529";"273";"75,33"
"Bladel en Netersel";"2021";"";"";""
"Blaricum";"2021";"11954";"1076";"11,11"
"Bleiswijk";"2021";"";"";""
"Bloemendaal";"2021";"23478";"590";"39,79"
"Boarnsterhim";"2021";"";"";""
"Bodegraven";"2021";"";"";""
"Bodegraven-Reeuwijk";"2021";"35278";"468";"75,38"
"Boekel";"2021";"10959";"318";"34,51"
"Ten Boer";"2021";"";"";""
"Bolsward";"2021";"";"";""
"Borculo";"2021";"";"";""
"Borger";"2021";"";"";""
